txn_id,date,amount,currency,description,counterparty_raw
TXN00001,2025-01-26,33630.93,USD,CUSTOMER REMITTANCE,BLUEPEAK SOLUTIONS
TXN00002,2025-01-27,33630.93,USD,CUSTOMER REMITTANCE,BLUEPEAK SOLUTIONS
TXN00003,2025-02-03,87305.81,USD,ACH CREDIT RECEIVED,INDIGO WAVE STUDIOS
TXN00004,2025-02-05,82372.09,USD,REMITTANCE REF INV-2025-0014,IRONBARK CONSTRUCTIONS
TXN00005,2025-02-08,60190.33,USD,INWARD CLEARING CREDIT,ACH CREDIT-PALISADE SECURITY-XXXXX6594
TXN00006,2025-02-09,42488.16,USD,ACH CREDIT RECEIVED,WESTGATE SHIPPING
TXN00007,2025-02-09,-1820.34,USD,OFFICE LEASE APR 2025 UNIT 4B,CASTLEGATE PROPERTIES LLC
TXN00008,2025-02-11,7037.52,USD,VAT REFUND Q1 2025,HM REVENUE AND CUSTOMS
TXN00009,2025-02-14,10263.30,USD,PART PAYMENT 1 OF 2,OAKHAVEN FURNITURE
TXN00010,2025-02-14,67806.93,USD,ADVANCE SETTLEMENT ON ISSUE,COPPERFIELD ENERGY
TXN00011,2025-02-18,92189.63,USD,WIRE CREDIT NET OF CORRESPONDENT CHARGES,BLUEPEAK SOLUTIONS
TXN00012,2025-02-21,8879.29,USD,PART PAYMENT 2 OF 2,OAKHAVEN FURNITURE
TXN00013,2025-02-22,32654.14,USD,INWARD CLEARING CREDIT,ACME CORPORATION
TXN00014,2025-02-23,39193.83,USD,INWARD CLEARING CREDIT,KITE AND COMPASS TRAVEL /REF 20763/
TXN00015,2025-02-23,46855.01,USD,WIRE CREDIT NET OF CORRESPONDENT CHARGES,COPPERFIELD ENERGY
TXN00016,2025-03-03,21695.54,USD,SETTLEMENT INV-2025-0025 THANK YOU,FAIRMONT CHEMICALS
TXN00017,2025-03-08,59512.73,USD,ONLINE TRANSFER FROM CUSTOMER,PINNACLE FOODS
TXN00018,2025-03-08,17560.29,USD,INCOMING WIRE - CUSTOMER PAYMENT,VANTAGE POINT MEDIA
TXN00019,2025-03-08,17726.41,USD,ACH CREDIT RECEIVED,OAKHAVEN FURNITURE
TXN00020,2025-03-09,30986.01,USD,PART PAYMENT 1 OF 3,BASALT MINING GROUP
TXN00021,2025-03-09,11265.21,USD,INTEREST CREDIT - SWEEP ACCOUNT,FIRST MERIDIAN BANK
TXN00022,2025-03-10,31380.60,USD,INCOMING WIRE - CUSTOMER PAYMENT,NORTHWIND TRADING
TXN00023,2025-03-12,3484.99,USD,SETTLEMENT INV-2025-0034 THANK YOU,ACME CORPORATION
TXN00024,2025-03-12,33789.07,USD,PART PAYMENT 2 OF 3,BASALT MINING GROUP
TXN00025,2025-03-12,44406.43,USD,DEPOSIT - UNIDENTIFIED REMITTER,REDWOOD INSTRUMENTS
TXN00026,2025-03-14,119241.31,USD,INWARD FX CREDIT - CONVERTED AT SPOT,SILVERLINE APPAREL
TXN00027,2025-03-14,19374.59,USD,CUSTOMER REMITTANCE,LARKSPUR PUBLISHING
