txn_id,invoice_id,relation,case_type,unmatchable,ambiguous,has_invoice_ref,note
TXN00001,INV-2025-0003,one_to_one,DUPLICATE,no,no,no,genuine credit; a duplicate re-posting of it also appears
TXN00002,,unmatchable_transaction,DUPLICATE_ARTIFACT,yes,no,no,bank re-posting of an earlier credit; settles nothing
TXN00003,INV-2025-0005,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00004,INV-2025-0014,one_to_one,CLEAN,no,no,yes,"exact amount, same currency, payment near due date"
TXN00005,INV-2025-0017,one_to_one,NAME_NOISE,no,no,no,counterparty mangled by rail style 4
TXN00006,INV-2025-0011,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00007,,unmatchable_transaction,NO_INVOICE,yes,no,no,non-AR bank line (fee / payroll / lease / tax)
TXN00008,,unmatchable_transaction,NO_INVOICE,yes,no,no,non-AR bank line (fee / payroll / lease / tax)
TXN00009,INV-2025-0004,many_txns_one_invoice,PARTIAL,no,no,no,instalment 1/2; only the sum equals the invoice
TXN00010,INV-2025-0027,one_to_one,DATE_DRIFT,no,no,no,prepaid ~45 days before due date
TXN00011,INV-2025-0002,one_to_one,FEE_DEDUCTION,no,no,no,credit is short by a 25.00 wire fee
TXN00012,INV-2025-0004,many_txns_one_invoice,PARTIAL,no,no,no,instalment 2/2; only the sum equals the invoice
TXN00013,INV-2025-0006,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00014,INV-2025-0022,one_to_one,NAME_NOISE,no,no,no,counterparty mangled by rail style 2
TXN00015,INV-2025-0001,one_to_one,FEE_DEDUCTION,no,no,no,credit is short by a 12.50 wire fee
TXN00016,INV-2025-0025,one_to_one,CLEAN,no,no,yes,"exact amount, same currency, payment near due date"
TXN00017,INV-2025-0016,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00018,,unmatchable_transaction,NO_INVOICE,yes,no,no,looks like a customer receipt but no invoice exists for it
TXN00019,,unmatchable_transaction,NO_INVOICE,yes,no,no,looks like a customer receipt but no invoice exists for it
TXN00020,INV-2025-0020,many_txns_one_invoice,PARTIAL,no,no,no,instalment 1/3; only the sum equals the invoice
TXN00021,,unmatchable_transaction,NO_INVOICE,yes,no,no,non-AR bank line (fee / payroll / lease / tax)
TXN00022,INV-2025-0008,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00023,INV-2025-0034,one_to_one,CLEAN,no,no,yes,"exact amount, same currency, payment near due date"
TXN00024,INV-2025-0020,many_txns_one_invoice,PARTIAL,no,no,no,instalment 2/3; only the sum equals the invoice
TXN00025,,unmatchable_transaction,NO_INVOICE,yes,no,no,looks like a customer receipt but no invoice exists for it
TXN00026,INV-2025-0032,one_to_one,FX_DIFF,no,no,no,GBP invoice credited in USD; -0.40% off table rate
TXN00027,,unmatchable_transaction,NO_INVOICE,yes,no,no,looks like a customer receipt but no invoice exists for it
TXN00028,INV-2025-0021,one_to_one,CLEAN,no,no,no,"exact amount, same currency, payment near due date"
TXN00029,INV-2025-0037,one_to_one,NAME_NOISE,no,no,no,counterparty mangled by rail style 1
TXN00030,,unmatchable_transaction,NO_INVOICE,yes,no,no,looks like a customer receipt but no invoice exists for it
TXN00031,INV-2025-0012,one_to_one,CLEAN,no,no,yes,"exact amount, same currency, payment near due date"
TXN00032,INV-2025-0020,many_txns_one_invoice,PARTIAL,no,no,no,instalment 3/3; only the sum equals the invoice
