invoice_id,issue_date,due_date,amount,currency,customer_name,status
INV-2025-0001,2025-01-06,2025-02-20,46867.51,USD,Copperfield Energy,overdue
INV-2025-0002,2025-01-06,2025-02-20,92214.63,USD,Bluepeak Solutions,overdue
INV-2025-0003,2025-01-07,2025-01-22,33630.93,USD,Bluepeak Solutions,overdue
INV-2025-0004,2025-01-08,2025-02-22,19142.59,USD,Oakhaven Furniture,overdue
INV-2025-0005,2025-01-09,2025-02-08,87305.81,USD,Indigo Wave Studios,overdue
INV-2025-0006,2025-01-10,2025-02-24,32654.14,USD,Acme Corporation,overdue
INV-2025-0007,2025-01-10,2025-02-09,78383.47,USD,Larkspur Publishing,overdue
INV-2025-0008,2025-01-15,2025-03-16,31380.60,USD,Northwind Trading,overdue
INV-2025-0009,2025-01-15,2025-03-16,16152.33,USD,Meridian Freight,overdue
INV-2025-0010,2025-01-19,2025-03-20,80749.14,USD,Meridian Freight,overdue
INV-2025-0011,2025-01-19,2025-02-03,42488.16,USD,Westgate Shipping,overdue
INV-2025-0012,2025-01-20,2025-03-21,82034.08,USD,Nimbus Cloudworks,overdue
INV-2025-0013,2025-01-20,2025-03-21,79061.67,USD,Emberline Textiles,overdue
INV-2025-0014,2025-01-22,2025-02-06,82372.09,USD,Ironbark Constructions,overdue
INV-2025-0015,2025-01-23,2025-02-22,85380.88,USD,Westgate Shipping,overdue
INV-2025-0016,2025-01-25,2025-03-11,59512.73,USD,Pinnacle Foods,overdue
INV-2025-0017,2025-01-26,2025-02-10,60190.33,USD,Palisade Security,overdue
INV-2025-0018,2025-01-26,2025-03-27,37315.77,USD,Helvetica Logistics,overdue
INV-2025-0019,2025-01-27,2025-03-28,57724.53,USD,Zephyr Telecom,overdue
INV-2025-0020,2025-01-29,2025-03-15,91523.76,USD,Basalt Mining Group,overdue
INV-2025-0021,2025-01-31,2025-03-17,52912.85,USD,Rosewood Pharmaceuticals,overdue
INV-2025-0022,2025-01-31,2025-02-15,39193.83,USD,Kite & Compass Travel,overdue
INV-2025-0023,2025-02-02,2025-04-03,14323.32,USD,Juniper Health Systems,overdue
INV-2025-0024,2025-02-05,2025-03-22,31679.00,USD,Acme Corporation,overdue
INV-2025-0025,2025-02-07,2025-03-09,21695.54,USD,Fairmont Chemicals,overdue
INV-2025-0026,2025-02-09,2025-04-10,39446.15,USD,Rosewood Pharmaceuticals,overdue
